internalCode	providerCode	name	provider	neto	iva	netoIva	minimumTotal	sellPrice	stock	minimumStock
11662	7309	SOQUETE AMPOLLETA T10 CABLE 40CM 	BRM	250	48	298	584	1.000		
10922	O154504	SOQUETE C/PIE 1 CONTACTO	REP AUSTRAL	269	51	320	629	700		
10923	O154505	SOQUETE C/PIE 2 CONTACTO	REP AUSTRAL	256	49	305	598	700		
11304	RS-64	SOQUETE CAJA REGULADORA SG-257	MERCOCHILE	320	61	381	748	1.000		
11432	O156858	SOQUETE CERAMICO 881 Y 889	REP AUSTRAL	561	107	668	1.311	1.500		
11430	O156866	SOQUETE CERAMICO 9005	REP AUSTRAL	479	91	570	1.119	1.200		
11431	O156868	SOQUETE CERAMICO H11	REP AUSTRAL	479	91	570	1.119	1.200		
11671	O154507	SOQUETE CORREINTE 2CTO	REP AUSTRAL	129	25	154	301	500		
10924	O156851	SOQUETE CUADRADO H4	REP AUSTRAL	400	76	476	935	1.000		
11606	101157	SOQUETE EMPOTRABLE 2 CONTACTO	BRM	480	91	571	1.122	1.200		
10925	O156814	SOQUETE FAROL 1 CONTACTO	REP AUSTRAL	315	60	375	736	1.000		
10926	O156878	SOQUETE H1 CERAMICO 	REP AUSTRAL	222	42	264	519	1.000		
11220	RC75	SOQUETE H4 CERAMICO	MERCOCHILE	300	57	357	701	1.200		
10927	O156939	SOQUETE H4 CERAMICO  	REP AUSTRAL	571	108	679	1.334	1.400		
11406	RC76	SOQUETE H4 CERAMICO AMARILLO	MERCOCHILE	360	68	428	841	1.200		
10928	O156862	SOQUETE H4 CERAMICO BLISTE (2)	REP AUSTRAL	399	76	475	932	1.200		
11102	O40010114	SOQUETE H7 CERAMICO 	BENLUB	462	88	550	1.079	1.300		
11611	903	SOQUETE METALICO 1 CTO CON BASE	BRM	150	29	179	350	900		
10929	O156815	SOQUETE PARA FAROL 2 CONTACTOS	REP AUSTRAL	336	64	400	785	1.000		
11488	O154513	SOQUETE PARA INSTRUMENTO	REP AUSTRAL	151	29	180	353	450		
11483	O156810	SOQUETE PARA PANEL INSTUMENTO 3/8	REP AUSTRAL	218	41	259	509	600		
11525	RS80	SOQUETE PARA RELAY DE LOZA 	MERCOCHILE	440	84	524	1.028	1.000		
11523	RS14	SOQUETE PLASTICO 1 CONTACTO	MERCOCHILE	220	42	262	514	1.000		
11524	RS15	SOQUETE PLASTICO 12 CONTACTOS	MERCOCHILE	220	42	262	514	1.000		
11302	RS-80	SOQUETE PORTA RELAY DE LOZA VERDE	MERCOCHILE	440	84	524	1.028	1.000		
10930	CH-015-SQ21341C	SOQUETE UNIVERSAL 1 CONT SIN CABLE PLOMO	IMBRA	662	126	788	1.547	1.900		
10931	CH-015-SQ21332C	SOQUETE UNIVERSAL 2 CONT SIN CABLE PLOMO	IMBRA	810	154	964	1.893	1.900		
10798	O700106	SPAGUETTI 8MM ROLLO 50MTS	REP AUSTRAL	145	28	173	339	450		
10799	O740105	SPAGUETTI CORRUGADO 10MM 100MTS	REP AUSTRAL	294	56	350	687	800		
10800	O740104	SPAGUETTI CORRUGADO 8MM ROLLO 100 MTS	REP AUSTRAL	280	53	333	654	700		
10801	O740103	SPAGUITTI CORRUGADO 6MM 100MTS	REP AUSTRAL	248	47	295	579	600		
11459	1212	SWICHT CORTESIA UNIVERSAL CORTABLE	BRM	398	76	474	930	1.500		
11465	2239	SWICHT CORTESIA UNIVERSAL PLASTICO GOMA	BRM	680	129	809	1.589	1.800		
11460	7053-4	SWICHT DE CORTESIA KIA	BRM	460	87	547	1.075	1.500		
10802	O154609	SWITCH 2 POSICIONES	REP AUSTRAL	394	75	469	921	1.000		
10803	O154602	SWITCH 3 POSICIONES	REP AUSTRAL	471	89	560	1.101	1.500		
11000	MD005480	SWITCH ACEITE MITSUBISHI 12V 8,0KG 1/8NPT/P MARCADOR/HY	ALSACIA	11.220	2.132	13.352	26.216	25.500		
11306	RS-52	SWITCH ALZA VIDRIO APM308030-EC5950	MERCOCHILE	1.100	209	1.309	2.570	3.000		
11703	G0105	SWITCH ALZAVIDRIO UNIVERSAL 6 PINES NARANJA 	BRM	1.390	264	1.654	3.248	3.500		
11677	O154937	SWITCH C/LUZ AMBAR 3 POSICIONES ON-OF	REP AUSTRAL	1.126	214	1.340	2.631	2.800		
10804	O154942	SWITCH C/LUZ ROJO 3 POSICIONES ON-OF	REP AUSTRAL	648	123	771	1.514	1.500		
11678	O154938	SWITCH C/LUZ ROJO 3 POSICIONES ON-OF	REP AUSTRAL	1.126	214	1.340	2.631	2.800		
11647	O154935	SWITCH CON LUZ AMBAR 3 POSICIONES 	REP AUSTRAL	1.126	214	1.340	2.631	2.800		
10941	3214	SWITCH CORTESIA PLASTICO BLANCO UNIVERSAL PUERTAS	BRM	326	62	388	762	1.000		
11705	20038	SWITCH DE FRENO CHEVROLET	BRM	1.160	220	1.380	2.710	3.000		
11659	200	SWITCH DE TIRO 1 POSICION 12V 7MM CORTO	BRM	550	105	655	1.285	1.500		
11002	25360-37100	SWITCH ELECTRO VENTILADOR HY ELANTRA 1,6 93-95 ACCENT 95-97	ALSACIA	4.420	840	5.260	10.328	10.000		
11001	93920	SWITCH ELECTRO VENTILADOR HY ELANTRA 1,6 ACCENT 1,5 90-85	ALSACIA	2.230	424	2.654	5.210	5.000		
10805	93860	SWITCH FRENO HY ATOS ACCENT KIA DIAMT 12MM 	ALSACIA	1.790	340	2.130	4.182	4.500		
10806	25312-90000	SWITCH FRENO TY CELICA COROLLLA DYNA HILUX LUV TERCEL HY	ALSACIA	2.050	390	2.440	4.790	5.500		
10807	93370-43300	SWITCH HAZARD EMERGENCIA HY H100 VAN PORTER 94-96	ALSACIA	7.510	1.427	8.937	17.547	18.000		
10808	O1546633	SWITCH INTERRUPTOR S/LUZ	REP AUSTRAL	496	94	590	1.159	1.200		
10809	O154633	SWITCH INTERRUPTOR S/LUZ	REP AUSTRAL	458	87	545	1.070	2.000		
10810	O154622	SWITCH LUZ DE STOP MITSUBISHI L-300	REP AUSTRAL	1.451	276	1.727	3.390	4.000		
10811	O154623	SWITCH LUZ DE STOP NISSAN HONDA MITSUBISHI	REP AUSTRAL	1.332	253	1.585	3.112	3.500		
10812	O154629	SWITCH LUZ DE STOP NISSAN, ISUZU	REP AUSTRAL	1.108	211	1.319	2.589	3.500		
11310	APM304003	SWITCH LUZ FRENO CONECTOR 	MERCOCHILE	870	165	1.035	2.033	3.500		
10813	8-94464-566-TW	SWITCH MARCHA ATRÁS CHEV LUV 76-10	ALSACIA	2.420	460	2.880	5.654	6.000		
